# source_id	kind	status	crystal_refs	notes
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexPane.java::func::setSelected	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexView.java::class::HexView	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexView.java::method::HexView.changeData	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/HexView.java::method::HexView.getPane	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/SelectEvent.java::func::getHexIndex	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/SelectEvent.java::func::getNavigation	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/DebugTextOverlay.java::func::renderTo	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/DebugTextOverlay.java::func::stripPage	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::class::PagePane	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.actionPerformed	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.ancestorAdded	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.ancestorMoved	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.ancestorRemoved	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.getPanel	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.mouseClicked	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.mouseDragged	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.mouseEntered	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.mouseExited	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.mouseMoved	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.mousePressed	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/pagepane/PagePane.java::method::PagePane.mouseReleased	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/signaturepane/SignaturePane.java::class::SignaturePane	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/signaturepane/SignaturePane.java::method::SignaturePane.getPane	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/OperatorMarker.java::func::getStyle	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/Stream.java::class::Stream	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/Stream.java::const::DECODED	const	missing	-	auto-generated
